"yr.n","age.n","c3","year5","age","count","tot_p","rate","cohort"
1982,17,"assault","[1980,1985)","yr1519",30,4239729,0.707592395646042,1965
1982,17,"battery","[1980,1985)","yr1519",653,4239729,15.4019278118955,1965
1982,17,"intentional property damage","[1980,1985)","yr1519",155,4239729,3.65589404417122,1965
1982,17,"murder","[1980,1985)","yr1519",86,4239729,2.02843153418532,1965
1982,17,"stolen goods","[1980,1985)","yr1519",880,4239729,20.7560436056172,1965
1982,17,"robbery","[1980,1985)","yr1519",1796,4239729,42.3611980860097,1965
1982,17,"frauds","[1980,1985)","yr1519",1005,4239729,23.7043452541424,1965
1982,17,"willful infliction of bodily injury","[1980,1985)","yr1519",1340,4239729,31.6057936721899,1965
1982,17,"larceny","[1980,1985)","yr1519",25714,4239729,606.501028721411,1965
1982,17,"punishment of violences, etc. act","[1980,1985)","yr1519",40567,4239729,956.830023805767,1965
1982,22,"willful infliction of bodily injury","[1980,1985)","yr2024",2830,4053638,69.8138314274733,1960
1982,22,"intentional property damage","[1980,1985)","yr2024",348,4053638,8.58488103772463,1960
1982,22,"robbery","[1980,1985)","yr2024",1079,4053638,26.6180650566232,1960
1982,22,"larceny","[1980,1985)","yr2024",14373,4053638,354.570388377058,1960
1982,22,"battery","[1980,1985)","yr2024",1539,4053638,37.9658963133857,1960
1982,22,"frauds","[1980,1985)","yr2024",3961,4053638,97.7146948000783,1960
1982,22,"murder","[1980,1985)","yr2024",131,4053638,3.23166498833887,1960
1982,22,"stolen goods","[1980,1985)","yr2024",1081,4053638,26.6674034533917,1960
1982,22,"punishment of violences, etc. act","[1980,1985)","yr2024",49940,4053638,1231.97976731025,1960
1982,22,"assault","[1980,1985)","yr2024",69,4053638,1.70217468851437,1960
1982,27,"intentional property damage","[1980,1985)","yr2529",405,3082172,13.1400843301412,1955
1982,27,"larceny","[1980,1985)","yr2529",9328,3082172,302.643720077919,1955
1982,27,"punishment of violences, etc. act","[1980,1985)","yr2529",38782,3082172,1258.26851973219,1955
1982,27,"robbery","[1980,1985)","yr2529",445,3082172,14.4378704368218,1955
1982,27,"battery","[1980,1985)","yr2529",1706,3082172,55.3505774499282,1955
1982,27,"murder","[1980,1985)","yr2529",115,3082172,3.73113505670676,1955
1982,27,"willful infliction of bodily injury","[1980,1985)","yr2529",3807,3082172,123.516792703327,1955
1982,27,"stolen goods","[1980,1985)","yr2529",1451,3082172,47.0771910198393,1955
1982,27,"frauds","[1980,1985)","yr2529",9540,3082172,309.521986443326,1955
1982,27,"assault","[1980,1985)","yr2529",95,3082172,3.08224200336646,1955
1982,32,"punishment of violences, etc. act","[1980,1985)","yr3034",22164,2519241,879.78879352948,1950
1982,32,"murder","[1980,1985)","yr3034",86,2519241,3.41372659463704,1950
1982,32,"willful infliction of bodily injury","[1980,1985)","yr3034",3325,2519241,131.984196827537,1950
1982,32,"stolen goods","[1980,1985)","yr3034",1359,2519241,53.9448190943225,1950
1982,32,"larceny","[1980,1985)","yr3034",5214,2519241,206.967098423692,1950
1982,32,"intentional property damage","[1980,1985)","yr3034",369,2519241,14.6472687607101,1950
1982,32,"robbery","[1980,1985)","yr3034",171,2519241,6.78775869398759,1950
1982,32,"battery","[1980,1985)","yr3034",1491,2519241,59.1844924721374,1950
1982,32,"frauds","[1980,1985)","yr3034",12266,2519241,486.892679183929,1950
1982,32,"assault","[1980,1985)","yr3034",96,2519241,3.81067154750181,1950
1982,37,"murder","[1980,1985)","yr3539",65,2223341,2.92352814975301,1945
1982,37,"punishment of violences, etc. act","[1980,1985)","yr3539",15168,2223341,682.216538083902,1945
1982,37,"frauds","[1980,1985)","yr3539",13571,2223341,610.387700312278,1945
1982,37,"willful infliction of bodily injury","[1980,1985)","yr3539",2994,2223341,134.662204313239,1945
1982,37,"larceny","[1980,1985)","yr3539",3544,2223341,159.399750195764,1945
1982,37,"assault","[1980,1985)","yr3539",99,2223341,4.45275825885458,1945
1982,37,"robbery","[1980,1985)","yr3539",78,2223341,3.50823377970361,1945
1982,37,"stolen goods","[1980,1985)","yr3539",1187,2223341,53.3881217501049,1945
1982,37,"intentional property damage","[1980,1985)","yr3539",374,2223341,16.8215312001173,1945
1982,37,"battery","[1980,1985)","yr3539",1357,2223341,61.0342722956128,1945
1982,42,"punishment of violences, etc. act","[1980,1985)","yr4044",10695,2131651,501.723781238111,1940
1982,42,"murder","[1980,1985)","yr4044",47,2131651,2.20486374176636,1940
1982,42,"willful infliction of bodily injury","[1980,1985)","yr4044",2463,2131651,115.544242467458,1940
1982,42,"larceny","[1980,1985)","yr4044",2588,2131651,121.408241780667,1940
1982,42,"intentional property damage","[1980,1985)","yr4044",340,2131651,15.9500781319268,1940
1982,42,"assault","[1980,1985)","yr4044",84,2131651,3.94060753847604,1940
1982,42,"robbery","[1980,1985)","yr4044",44,2131651,2.06412775824936,1940
1982,42,"battery","[1980,1985)","yr4044",1117,2131651,52.4006978628303,1940
