"yr.n","age.n","c3","year5","age","count","tot_p","rate","cohort"
1982,17,"assault","[1980,1985)","yr1519",30,4239729,0.707592395646042,1965
1982,17,"battery","[1980,1985)","yr1519",653,4239729,15.4019278118955,1965
1982,17,"intentional property damage","[1980,1985)","yr1519",155,4239729,3.65589404417122,1965
1982,17,"murder","[1980,1985)","yr1519",86,4239729,2.02843153418532,1965
1982,17,"stolen goods","[1980,1985)","yr1519",880,4239729,20.7560436056172,1965
1982,17,"robbery","[1980,1985)","yr1519",1796,4239729,42.3611980860097,1965
1982,17,"frauds","[1980,1985)","yr1519",1005,4239729,23.7043452541424,1965
1982,17,"willful infliction of bodily injury","[1980,1985)","yr1519",1340,4239729,31.6057936721899,1965
1982,17,"larceny","[1980,1985)","yr1519",25714,4239729,606.501028721411,1965
1982,17,"punishment of violences, etc. act","[1980,1985)","yr1519",40567,4239729,956.830023805767,1965
1982,22,"willful infliction of bodily injury","[1980,1985)","yr2024",2830,4053638,69.8138314274733,1960
1982,22,"intentional property damage","[1980,1985)","yr2024",348,4053638,8.58488103772463,1960
1982,22,"robbery","[1980,1985)","yr2024",1079,4053638,26.6180650566232,1960
1982,22,"larceny","[1980,1985)","yr2024",14373,4053638,354.570388377058,1960
1982,22,"battery","[1980,1985)","yr2024",1539,4053638,37.9658963133857,1960
1982,22,"frauds","[1980,1985)","yr2024",3961,4053638,97.7146948000783,1960
1982,22,"murder","[1980,1985)","yr2024",131,4053638,3.23166498833887,1960
1982,22,"stolen goods","[1980,1985)","yr2024",1081,4053638,26.6674034533917,1960
1982,22,"punishment of violences, etc. act","[1980,1985)","yr2024",49940,4053638,1231.97976731025,1960
1982,22,"assault","[1980,1985)","yr2024",69,4053638,1.70217468851437,1960
1982,27,"intentional property damage","[1980,1985)","yr2529",406,3082172,13.1725289828082,1955
1982,27,"larceny","[1980,1985)","yr2529",9257,3082172,300.340149738561,1955
1982,27,"punishment of violences, etc. act","[1980,1985)","yr2529",38338,3082172,1243.86309394803,1955
1982,27,"robbery","[1980,1985)","yr2529",438,3082172,14.2107578681527,1955
1982,27,"battery","[1980,1985)","yr2529",1706,3082172,55.3505774499282,1955
1982,27,"murder","[1980,1985)","yr2529",115,3082172,3.73113505670676,1955
1982,27,"willful infliction of bodily injury","[1980,1985)","yr2529",3819,3082172,123.906128535332,1955
1982,27,"stolen goods","[1980,1985)","yr2529",1460,3082172,47.3691928938424,1955
1982,27,"frauds","[1980,1985)","yr2529",9694,3082172,314.518462954047,1955
1982,27,"assault","[1980,1985)","yr2529",96,3082172,3.11468665603347,1955
1982,32,"punishment of violences, etc. act","[1980,1985)","yr3034",21144,2519241,839.300408337273,1950
1982,32,"murder","[1980,1985)","yr3034",86,2519241,3.41372659463704,1950
1982,32,"willful infliction of bodily injury","[1980,1985)","yr3034",3319,2519241,131.746029855818,1950
1982,32,"stolen goods","[1980,1985)","yr3034",1371,2519241,54.4211530377602,1950
1982,32,"larceny","[1980,1985)","yr3034",4982,2519241,197.757975517229,1950
1982,32,"intentional property damage","[1980,1985)","yr3034",366,2519241,14.5281852748506,1950
1982,32,"robbery","[1980,1985)","yr3034",152,2519241,6.03356328354453,1950
1982,32,"battery","[1980,1985)","yr3034",1484,2519241,58.9066310051321,1950
1982,32,"frauds","[1980,1985)","yr3034",12453,2519241,494.3155498025,1950
1982,32,"assault","[1980,1985)","yr3034",95,2519241,3.77097705221533,1950
1982,37,"murder","[1980,1985)","yr3539",65,2223341,2.92352814975301,1945
1982,37,"punishment of violences, etc. act","[1980,1985)","yr3539",14975,2223341,673.535908346943,1945
1982,37,"frauds","[1980,1985)","yr3539",13711,2223341,616.684530173284,1945
1982,37,"willful infliction of bodily injury","[1980,1985)","yr3539",2999,2223341,134.887091093989,1945
1982,37,"larceny","[1980,1985)","yr3539",3467,2223341,155.93649377221,1945
1982,37,"assault","[1980,1985)","yr3539",100,2223341,4.49773561500463,1945
1982,37,"robbery","[1980,1985)","yr3539",74,2223341,3.32832435510342,1945
1982,37,"stolen goods","[1980,1985)","yr3539",1192,2223341,53.6130085308551,1945
1982,37,"intentional property damage","[1980,1985)","yr3539",376,2223341,16.9114859124174,1945
1982,37,"battery","[1980,1985)","yr3539",1362,2223341,61.259159076363,1945
1982,42,"punishment of violences, etc. act","[1980,1985)","yr4044",10710,2131651,502.427461155696,1940
1982,42,"murder","[1980,1985)","yr4044",47,2131651,2.20486374176636,1940
1982,42,"willful infliction of bodily injury","[1980,1985)","yr4044",2533,2131651,118.828082082855,1940
1982,42,"larceny","[1980,1985)","yr4044",2627,2131651,123.237809566388,1940
1982,42,"intentional property damage","[1980,1985)","yr4044",354,2131651,16.6068460550062,1940
1982,42,"assault","[1980,1985)","yr4044",87,2131651,4.08134352199305,1940
1982,42,"robbery","[1980,1985)","yr4044",44,2131651,2.06412775824936,1940
1982,42,"battery","[1980,1985)","yr4044",1144,2131651,53.6673217144833,1940
