"yr.n","age.n","tot_p"
1982,17,4239729
1987,17,4316264
1992,17,4448996
1997,17,3863491
2002,17,3691584
2007,17,3100523
2012,17,3438414
1982,22,4053638
1987,22,4245090
1992,22,4396309
1997,22,4304378
2002,22,3848186
2007,22,3662123
2012,22,3055420
1982,27,3082172
1987,27,4070408
1992,27,4333500
1997,27,4137913
2002,27,4096978
2007,27,3671847
2012,27,3538949
1982,32,2519241
1987,32,3115238
1992,32,4207714
1997,32,4230239
2002,32,4093228
2007,32,4096282
2012,32,3695348
1982,37,2223341
1987,37,2581181
1992,37,3201210
1997,37,4133864
2002,37,4186953
2007,37,4112785
2012,37,4099147
1982,42,2131651
1987,42,2187508
1992,42,2539269
1997,42,3071101
2002,42,3996336
2007,42,4123041
2012,42,4131423
1982,47,1781813
1987,47,2089212
1992,47,2176890
1997,47,2464295
2002,47,2952023
2007,47,3900899
2012,47,4073358
1982,52,1325925
1987,52,1695259
1992,52,2010018
1997,52,2063768
2002,52,2350250
2007,52,2855297
2012,52,3798131
1982,57,1125353
1987,57,1267757
1992,57,1622853
1997,57,1913461
2002,57,1968472
2007,57,2278438
2012,57,2766695
1982,62,822057
1987,62,1006876
1992,62,1157059
1997,62,1495082
2002,62,1788849
2007,62,1888853
2012,62,2182236
2017,17,2874926.21322173
2017,22,3401510.74125407
2017,27,3293577.52919369
2017,32,3477610.63348316
2017,37,3984637.06754828
2017,42,3872297.03439894
2017,47,4133686.06066367
2017,52,3967375.32954734
2017,57,4045962.92450206
2017,62,3161036.77314401
